round0:running time: 0.275, start_pos:[(0, 4), (9, 8)], paths length:[32, 33], min_sum:65, min_max:33
round1:running time: 3.855, start_pos:[(1, 7), (7, 1)], paths length:[38, 28], min_sum:66, min_max:38
round2:running time: 0.094, start_pos:[(10, 0), (10, 2)], paths length:[34, 28], min_sum:62, min_max:34
round3:running time: 12.922, start_pos:[(3, 5), (6, 9)], paths length:[36, 29], min_sum:65, min_max:36
round4:running time: 3.932, start_pos:[(1, 1), (6, 1)], paths length:[38, 29], min_sum:67, min_max:38
round5:running time: 3.25, start_pos:[(8, 4), (8, 10)], paths length:[42, 29], min_sum:71, min_max:42
round6:running time: 0.49, start_pos:[(6, 3), (2, 7)], paths length:[33, 27], min_sum:60, min_max:33
round7:running time: 0.361, start_pos:[(0, 0), (3, 5)], paths length:[36, 32], min_sum:68, min_max:36
round8:running time: 0.292, start_pos:[(1, 7), (5, 10)], paths length:[34, 29], min_sum:63, min_max:34
round9:running time: 0.301, start_pos:[(0, 3), (10, 10)], paths length:[33, 32], min_sum:65, min_max:33
round10:running time: 0.398, start_pos:[(8, 7), (5, 1)], paths length:[35, 32], min_sum:67, min_max:35
round11:running time: 0.153, start_pos:[(8, 0), (5, 6)], paths length:[26, 31], min_sum:57, min_max:31
round12:running time: 4.925, start_pos:[(0, 0), (0, 6)], paths length:[30, 38], min_sum:68, min_max:38
round13:running time: 6.189, start_pos:[(0, 6), (2, 1)], paths length:[36, 35], min_sum:71, min_max:36
round14:running time: 0.42, start_pos:[(7, 7), (10, 0)], paths length:[34, 28], min_sum:62, min_max:34
round15:running time: 8.575, start_pos:[(8, 6), (6, 7)], paths length:[44, 28], min_sum:72, min_max:44
round16:running time: 20.463, start_pos:[(6, 8), (5, 6)], paths length:[48, 26], min_sum:74, min_max:48
round17:running time: 5.431, start_pos:[(7, 7), (7, 10)], paths length:[46, 28], min_sum:74, min_max:46
round18:running time: 27.925, start_pos:[(1, 7), (1, 4)], paths length:[33, 38], min_sum:71, min_max:38
round19:running time: 7.352, start_pos:[(6, 3), (5, 7)], paths length:[39, 27], min_sum:66, min_max:39
pre-processing time:0.020s, runing time:107.609s, expansion:79.8, successful time:20, avg_max_paths_len+std:37.300Å}4.473, avg_sum_paths_len+std:66.700Å}4.473,per_exe_time:5.380436224999903
