round0:running time: 0.321, start_pos:[(0, 4), (9, 8), (2, 1)], paths length:[20, 24, 13], min_sum:57, min_max:24
round1:running time: 0.107, start_pos:[(1, 7), (7, 1), (5, 3)], paths length:[18, 13, 28], min_sum:59, min_max:28
round2:running time: 0.128, start_pos:[(10, 0), (10, 2), (0, 9)], paths length:[13, 24, 17], min_sum:54, min_max:24
round3:running time: 0.242, start_pos:[(3, 5), (6, 9), (6, 5)], paths length:[36, 16, 13], min_sum:65, min_max:36
round4:running time: 0.058, start_pos:[(1, 1), (6, 1), (5, 3)], paths length:[24, 13, 28], min_sum:65, min_max:28
round5:running time: 0.222, start_pos:[(8, 4), (8, 10), (5, 0)], paths length:[16, 18, 31], min_sum:65, min_max:31
round6:running time: 0.318, start_pos:[(6, 3), (2, 7), (6, 8)], paths length:[18, 27, 18], min_sum:63, min_max:27
round7:running time: 0.136, start_pos:[(0, 0), (3, 5), (0, 7)], paths length:[12, 32, 19], min_sum:63, min_max:32
round8:running time: 0.415, start_pos:[(1, 7), (5, 10), (4, 0)], paths length:[18, 25, 16], min_sum:59, min_max:25
round9:running time: 0.467, start_pos:[(0, 3), (10, 10), (7, 7)], paths length:[33, 16, 19], min_sum:68, min_max:33
round10:running time: 0.538, start_pos:[(8, 7), (5, 1), (0, 6)], paths length:[25, 16, 20], min_sum:61, min_max:25
round11:running time: 0.534, start_pos:[(8, 0), (5, 6), (10, 0)], paths length:[26, 31, 12], min_sum:69, min_max:31
round12:running time: 0.146, start_pos:[(0, 0), (0, 6), (4, 0)], paths length:[20, 38, 16], min_sum:74, min_max:38
round13:running time: 0.363, start_pos:[(0, 6), (2, 1), (7, 10)], paths length:[20, 13, 24], min_sum:57, min_max:24
round14:running time: 0.678, start_pos:[(7, 7), (10, 0), (8, 5)], paths length:[25, 12, 23], min_sum:60, min_max:25
round15:running time: 1.723, start_pos:[(8, 6), (6, 7), (8, 5)], paths length:[12, 15, 44], min_sum:71, min_max:44
round16:running time: 5.566, start_pos:[(6, 8), (5, 6), (8, 6)], paths length:[16, 13, 49], min_sum:78, min_max:49
round17:running time: 0.351, start_pos:[(7, 7), (7, 10), (1, 7)], paths length:[18, 15, 28], min_sum:61, min_max:28
round18:running time: 0.122, start_pos:[(1, 7), (1, 4), (6, 1)], paths length:[18, 33, 14], min_sum:65, min_max:33
round19:running time: 1.036, start_pos:[(6, 3), (5, 7), (3, 8)], paths length:[17, 23, 21], min_sum:61, min_max:23
pre-processing time:0.028s, runing time:13.479s, expansion:55.55, successful time:20, avg_max_paths_len+std:30.400Å}6.822, avg_sum_paths_len+std:63.750Å}5.838,per_exe_time:0.6739431199999671
