round0:running time: 0.774, start_pos:[(0, 4), (9, 8)], paths length:[32, 33], min_sum:65, min_max:33
round1:running time: 0.073, start_pos:[(1, 7), (7, 1)], paths length:[38, 36], min_sum:74, min_max:38
round2:running time: 0.263, start_pos:[(10, 0), (10, 2)], paths length:[34, 28], min_sum:62, min_max:34
round3:running time: 0.377, start_pos:[(3, 5), (6, 9)], paths length:[36, 29], min_sum:65, min_max:36
round4:running time: 0.078, start_pos:[(1, 1), (6, 1)], paths length:[38, 37], min_sum:75, min_max:38
round5:running time: 0.149, start_pos:[(8, 4), (8, 10)], paths length:[42, 29], min_sum:71, min_max:42
round6:running time: 1.279, start_pos:[(6, 3), (2, 7)], paths length:[33, 27], min_sum:60, min_max:33
round7:running time: 0.68, start_pos:[(0, 0), (3, 5)], paths length:[36, 32], min_sum:68, min_max:36
round8:running time: 1.143, start_pos:[(1, 7), (5, 10)], paths length:[34, 29], min_sum:63, min_max:34
round9:running time: 0.646, start_pos:[(0, 3), (10, 10)], paths length:[33, 32], min_sum:65, min_max:33
round10:running time: 0.625, start_pos:[(8, 7), (5, 1)], paths length:[35, 32], min_sum:67, min_max:35
round11:running time: 0.277, start_pos:[(8, 0), (5, 6)], paths length:[26, 31], min_sum:57, min_max:31
round12:running time: 1.332, start_pos:[(0, 0), (0, 6)], paths length:[30, 38], min_sum:68, min_max:38
round13:running time: 2.934, start_pos:[(0, 6), (2, 1)], paths length:[36, 35], min_sum:71, min_max:36
round14:running time: 0.721, start_pos:[(7, 7), (10, 0)], paths length:[34, 28], min_sum:62, min_max:34
round15:running time: 0.184, start_pos:[(8, 6), (6, 7)], paths length:[44, 28], min_sum:72, min_max:44
round16:running time: 0.143, start_pos:[(6, 8), (5, 6)], paths length:[48, 26], min_sum:74, min_max:48
round17:running time: 0.144, start_pos:[(7, 7), (7, 10)], paths length:[46, 28], min_sum:74, min_max:46
round18:running time: 3.251, start_pos:[(1, 7), (1, 4)], paths length:[33, 38], min_sum:71, min_max:38
round19:running time: 0.208, start_pos:[(6, 3), (5, 7)], paths length:[39, 27], min_sum:66, min_max:39
round20:running time: 1.121, start_pos:[(10, 3), (2, 7)], paths length:[27, 33], min_sum:60, min_max:33
round21:running time: 0.283, start_pos:[(3, 4), (6, 5)], paths length:[35, 26], min_sum:61, min_max:35
round22:running time: 0.464, start_pos:[(7, 3), (0, 10)], paths length:[26, 32], min_sum:58, min_max:32
round23:running time: 1.222, start_pos:[(0, 7), (5, 9)], paths length:[29, 34], min_sum:63, min_max:34
round24:running time: 0.849, start_pos:[(3, 7), (8, 7)], paths length:[32, 29], min_sum:61, min_max:32
round25:running time: 1.143, start_pos:[(2, 6), (7, 9)], paths length:[28, 34], min_sum:62, min_max:34
round26:running time: 0.757, start_pos:[(9, 5), (0, 9)], paths length:[26, 33], min_sum:59, min_max:33
round27:running time: 0.186, start_pos:[(10, 9), (5, 9)], paths length:[49, 28], min_sum:77, min_max:49
round28:running time: 0.234, start_pos:[(3, 1), (1, 6)], paths length:[37, 40], min_sum:77, min_max:40
round29:running time: 0.268, start_pos:[(10, 10), (4, 0)], paths length:[32, 32], min_sum:64, min_max:32
round30:running time: 0.619, start_pos:[(3, 10), (9, 8)], paths length:[29, 33], min_sum:62, min_max:33
round31:running time: 0.952, start_pos:[(7, 7), (0, 10)], paths length:[29, 32], min_sum:61, min_max:32
round32:running time: 1.209, start_pos:[(0, 7), (8, 4)], paths length:[35, 26], min_sum:61, min_max:35
round33:running time: 0.277, start_pos:[(5, 6), (8, 6)], paths length:[28, 49], min_sum:77, min_max:49
round34:running time: 2.31, start_pos:[(6, 8), (2, 7)], paths length:[34, 27], min_sum:61, min_max:34
round35:running time: 0.278, start_pos:[(5, 0), (7, 3)], paths length:[31, 34], min_sum:65, min_max:34
round36:running time: 0.434, start_pos:[(2, 4), (5, 3)], paths length:[34, 32], min_sum:66, min_max:34
round37:running time: 0.599, start_pos:[(7, 10), (0, 0)], paths length:[33, 36], min_sum:69, min_max:36
round38:running time: 0.311, start_pos:[(6, 8), (8, 4)], paths length:[29, 42], min_sum:71, min_max:42
round39:running time: 0.142, start_pos:[(10, 5), (6, 3)], paths length:[25, 39], min_sum:64, min_max:39
round40:running time: 2.653, start_pos:[(3, 9), (0, 0)], paths length:[36, 42], min_sum:78, min_max:42
round41:running time: 0.647, start_pos:[(3, 1), (10, 3)], paths length:[34, 37], min_sum:71, min_max:37
round42:running time: 0.178, start_pos:[(9, 8), (9, 5)], paths length:[28, 44], min_sum:72, min_max:44
round43:running time: 2.191, start_pos:[(0, 9), (5, 0)], paths length:[39, 31], min_sum:70, min_max:39
round44:running time: 1.222, start_pos:[(3, 10), (8, 7)], paths length:[29, 35], min_sum:64, min_max:35
round45:running time: 0.68, start_pos:[(3, 8), (8, 4)], paths length:[33, 26], min_sum:59, min_max:33
round46:running time: 0.429, start_pos:[(5, 5), (1, 9)], paths length:[30, 26], min_sum:56, min_max:30
round47:running time: 0.159, start_pos:[(6, 9), (10, 10)], paths length:[49, 27], min_sum:76, min_max:49
round48:running time: 1.23, start_pos:[(0, 1), (8, 6)], paths length:[37, 36], min_sum:73, min_max:37
round49:running time: 0.299, start_pos:[(6, 5), (7, 9)], paths length:[29, 51], min_sum:80, min_max:51
pre-processing time:0.017s, running time:38.638s, expansion:32.1, successful time:50, avg_max_paths_len+std:37.300Å}5.315, avg_sum_paths_len+std:66.960Å}6.242,per_exe_time:0.772757042000012
