round0:running time: 1.482, start_pos:[(0, 4), (9, 8)], paths length:[32, 33], min_sum:65, min_max:33
round1:running time: 0.026, start_pos:[(1, 7), (7, 1)], paths length:[38, 36], min_sum:74, min_max:38
round2:running time: 0.598, start_pos:[(10, 0), (10, 2)], paths length:[34, 28], min_sum:62, min_max:34
round3:running time: 0.136, start_pos:[(3, 5), (6, 9)], paths length:[36, 29], min_sum:65, min_max:36
round4:running time: 0.04, start_pos:[(1, 1), (6, 1)], paths length:[38, 37], min_sum:75, min_max:38
round5:running time: 0.029, start_pos:[(8, 4), (8, 10)], paths length:[42, 29], min_sum:71, min_max:42
round6:running time: 12.995, start_pos:[(6, 3), (2, 7)], paths length:[33, 27], min_sum:60, min_max:33
round7:running time: 0.616, start_pos:[(0, 0), (3, 5)], paths length:[36, 32], min_sum:68, min_max:36
round8:running time: 1.499, start_pos:[(1, 7), (5, 10)], paths length:[34, 29], min_sum:63, min_max:34
round9:running time: 0.165, start_pos:[(0, 3), (10, 10)], paths length:[33, 32], min_sum:65, min_max:33
round10:running time: 2.73, start_pos:[(8, 7), (5, 1)], paths length:[35, 32], min_sum:67, min_max:35
round11:running time: 1.025, start_pos:[(8, 0), (5, 6)], paths length:[26, 31], min_sum:57, min_max:31
round12:running time: 1.188, start_pos:[(0, 0), (0, 6)], paths length:[30, 38], min_sum:68, min_max:38
round13:running time: 18.836, start_pos:[(0, 6), (2, 1)], paths length:[36, 35], min_sum:71, min_max:36
round14:running time: 3.195, start_pos:[(7, 7), (10, 0)], paths length:[34, 28], min_sum:62, min_max:34
round15:running time: 0.057, start_pos:[(8, 6), (6, 7)], paths length:[44, 28], min_sum:72, min_max:44
round16:running time: 0.044, start_pos:[(6, 8), (5, 6)], paths length:[48, 26], min_sum:74, min_max:48
round17:running time: 0.036, start_pos:[(7, 7), (7, 10)], paths length:[46, 28], min_sum:74, min_max:46
round18:running time: 4.943, start_pos:[(1, 7), (1, 4)], paths length:[33, 38], min_sum:71, min_max:38
round19:running time: 0.046, start_pos:[(6, 3), (5, 7)], paths length:[39, 27], min_sum:66, min_max:39
round20:running time: 1.002, start_pos:[(10, 3), (2, 7)], paths length:[27, 33], min_sum:60, min_max:33
round21:running time: 0.044, start_pos:[(3, 4), (6, 5)], paths length:[35, 26], min_sum:61, min_max:35
round22:running time: 0.847, start_pos:[(7, 3), (0, 10)], paths length:[26, 32], min_sum:58, min_max:32
round23:running time: 1.522, start_pos:[(0, 7), (5, 9)], paths length:[29, 34], min_sum:63, min_max:34
round24:running time: 2.689, start_pos:[(3, 7), (8, 7)], paths length:[32, 29], min_sum:61, min_max:32
round25:running time: 2.393, start_pos:[(2, 6), (7, 9)], paths length:[28, 34], min_sum:62, min_max:34
round26:running time: 1.881, start_pos:[(9, 5), (0, 9)], paths length:[26, 33], min_sum:59, min_max:33
round27:running time: 0.039, start_pos:[(10, 9), (5, 9)], paths length:[49, 28], min_sum:77, min_max:49
round28:running time: 0.04, start_pos:[(3, 1), (1, 6)], paths length:[37, 40], min_sum:77, min_max:40
round29:running time: 0.704, start_pos:[(10, 10), (4, 0)], paths length:[32, 32], min_sum:64, min_max:32
pre-processing time:0.019s, runing time:60.853s, expansion:26.933333333333334, successful time:30, avg_max_paths_len+std:36.667Å}4.763, avg_sum_paths_len+std:66.400Å}5.829,per_exe_time:2.0284356733335396
