round0:running time: 0.273, start_pos:[(0, 4), (9, 8), (2, 1)], paths length:[20, 24, 13], min_sum:57, min_max:24
round1:running time: 0.107, start_pos:[(1, 7), (7, 1), (5, 3)], paths length:[18, 13, 28], min_sum:59, min_max:28
round2:running time: 0.125, start_pos:[(10, 0), (10, 2), (0, 9)], paths length:[13, 24, 17], min_sum:54, min_max:24
round3:running time: 0.244, start_pos:[(3, 5), (6, 9), (6, 5)], paths length:[36, 16, 13], min_sum:65, min_max:36
round4:running time: 0.063, start_pos:[(1, 1), (6, 1), (5, 3)], paths length:[24, 13, 28], min_sum:65, min_max:28
round5:running time: 0.228, start_pos:[(8, 4), (8, 10), (5, 0)], paths length:[16, 18, 31], min_sum:65, min_max:31
round6:running time: 0.338, start_pos:[(6, 3), (2, 7), (6, 8)], paths length:[18, 27, 18], min_sum:63, min_max:27
round7:running time: 0.116, start_pos:[(0, 0), (3, 5), (0, 7)], paths length:[12, 32, 19], min_sum:63, min_max:32
round8:running time: 0.417, start_pos:[(1, 7), (5, 10), (4, 0)], paths length:[18, 25, 16], min_sum:59, min_max:25
round9:running time: 0.467, start_pos:[(0, 3), (10, 10), (7, 7)], paths length:[33, 16, 19], min_sum:68, min_max:33
round10:running time: 0.571, start_pos:[(8, 7), (5, 1), (0, 6)], paths length:[25, 16, 20], min_sum:61, min_max:25
round11:running time: 0.49, start_pos:[(8, 0), (5, 6), (10, 0)], paths length:[26, 31, 12], min_sum:69, min_max:31
round12:running time: 0.147, start_pos:[(0, 0), (0, 6), (4, 0)], paths length:[20, 38, 16], min_sum:74, min_max:38
round13:running time: 0.382, start_pos:[(0, 6), (2, 1), (7, 10)], paths length:[20, 13, 24], min_sum:57, min_max:24
round14:running time: 0.716, start_pos:[(7, 7), (10, 0), (8, 5)], paths length:[25, 12, 23], min_sum:60, min_max:25
round15:running time: 1.801, start_pos:[(8, 6), (6, 7), (8, 5)], paths length:[12, 15, 44], min_sum:71, min_max:44
round16:running time: 5.824, start_pos:[(6, 8), (5, 6), (8, 6)], paths length:[16, 13, 49], min_sum:78, min_max:49
round17:running time: 0.398, start_pos:[(7, 7), (7, 10), (1, 7)], paths length:[18, 15, 28], min_sum:61, min_max:28
round18:running time: 0.126, start_pos:[(1, 7), (1, 4), (6, 1)], paths length:[18, 33, 14], min_sum:65, min_max:33
round19:running time: 1.095, start_pos:[(6, 3), (5, 7), (3, 8)], paths length:[17, 23, 21], min_sum:61, min_max:23
round20:running time: 0.201, start_pos:[(10, 3), (2, 7), (9, 10)], paths length:[15, 27, 17], min_sum:59, min_max:27
round21:running time: 0.348, start_pos:[(3, 4), (6, 5), (0, 6)], paths length:[19, 22, 10], min_sum:51, min_max:22
round22:running time: 0.146, start_pos:[(7, 3), (0, 10), (0, 0)], paths length:[26, 16, 12], min_sum:54, min_max:26
round23:running time: 0.728, start_pos:[(0, 7), (5, 9), (3, 10)], paths length:[23, 16, 22], min_sum:61, min_max:23
round24:running time: 2.989, start_pos:[(3, 7), (8, 7), (0, 4)], paths length:[21, 25, 20], min_sum:66, min_max:25
round25:running time: 1.762, start_pos:[(2, 6), (7, 9), (7, 10)], paths length:[28, 20, 16], min_sum:64, min_max:28
round26:running time: 0.153, start_pos:[(9, 5), (0, 9), (1, 9)], paths length:[22, 19, 16], min_sum:57, min_max:22
round27:running time: 0.542, start_pos:[(10, 9), (5, 9), (1, 7)], paths length:[17, 16, 28], min_sum:61, min_max:28
round28:running time: 0.735, start_pos:[(3, 1), (1, 6), (7, 7)], paths length:[14, 24, 25], min_sum:63, min_max:25
round29:running time: 0.149, start_pos:[(10, 10), (4, 0), (3, 1)], paths length:[23, 14, 26], min_sum:63, min_max:26
round30:running time: 0.398, start_pos:[(3, 10), (9, 8), (8, 6)], paths length:[29, 15, 18], min_sum:62, min_max:29
round31:running time: 1.896, start_pos:[(7, 7), (0, 10), (3, 4)], paths length:[25, 21, 20], min_sum:66, min_max:25
round32:running time: 0.642, start_pos:[(0, 7), (8, 4), (8, 10)], paths length:[29, 16, 18], min_sum:63, min_max:29
round33:running time: 4.603, start_pos:[(5, 6), (8, 6), (10, 10)], paths length:[16, 49, 10], min_sum:75, min_max:49
round34:running time: 0.229, start_pos:[(6, 8), (2, 7), (10, 4)], paths length:[16, 27, 18], min_sum:61, min_max:27
round35:running time: 0.09, start_pos:[(5, 0), (7, 3), (3, 8)], paths length:[16, 26, 17], min_sum:59, min_max:26
round36:running time: 0.418, start_pos:[(2, 4), (5, 3), (0, 5)], paths length:[21, 28, 16], min_sum:65, min_max:28
round37:running time: 0.365, start_pos:[(7, 10), (0, 0), (9, 8)], paths length:[15, 12, 31], min_sum:58, min_max:31
round38:running time: 6.733, start_pos:[(6, 8), (8, 4), (7, 10)], paths length:[11, 48, 15], min_sum:74, min_max:48
round39:running time: 0.086, start_pos:[(10, 5), (6, 3), (5, 0)], paths length:[21, 19, 16], min_sum:56, min_max:21
round40:running time: 1.355, start_pos:[(3, 9), (0, 0), (3, 10)], paths length:[12, 42, 19], min_sum:73, min_max:42
round41:running time: 0.275, start_pos:[(3, 1), (10, 3), (0, 6)], paths length:[14, 23, 20], min_sum:57, min_max:23
round42:running time: 0.289, start_pos:[(9, 8), (9, 5), (0, 4)], paths length:[15, 18, 32], min_sum:65, min_max:32
round43:running time: 0.138, start_pos:[(0, 9), (5, 0), (1, 6)], paths length:[19, 16, 39], min_sum:74, min_max:39
round44:running time: 0.126, start_pos:[(3, 10), (8, 7), (10, 5)], paths length:[9, 17, 27], min_sum:53, min_max:27
round45:running time: 0.23, start_pos:[(3, 8), (8, 4), (5, 6)], paths length:[27, 16, 15], min_sum:58, min_max:27
round46:running time: 0.3, start_pos:[(5, 5), (1, 9), (1, 1)], paths length:[21, 16, 12], min_sum:49, min_max:21
round47:running time: 0.444, start_pos:[(6, 9), (10, 10), (3, 7)], paths length:[17, 16, 26], min_sum:59, min_max:26
round48:running time: 0.507, start_pos:[(0, 1), (8, 6), (5, 9)], paths length:[11, 28, 16], min_sum:55, min_max:28
round49:running time: 0.605, start_pos:[(6, 5), (7, 9), (5, 0)], paths length:[20, 19, 31], min_sum:70, min_max:31
pre-processing time:0.017s, running time:41.458s, expansion:154.94, successful time:50, avg_max_paths_len+std:29.380Å}6.945, avg_sum_paths_len+std:62.520Å}6.419,per_exe_time:0.8291694280000229
