round0:running time: 0.258, start_pos:[(0, 4), (9, 8), (2, 1)], paths length:[20, 24, 13], min_sum:57, min_max:24
round1:running time: 3.556, start_pos:[(1, 7), (7, 1), (5, 3)], paths length:[18, 13, 28], min_sum:59, min_max:28
round2:running time: 0.623, start_pos:[(10, 0), (10, 2), (0, 9)], paths length:[13, 24, 17], min_sum:54, min_max:24
round3:running time: 4.895, start_pos:[(3, 5), (6, 9), (6, 5)], paths length:[36, 16, 13], min_sum:65, min_max:36
round4:running time: 2.737, start_pos:[(1, 1), (6, 1), (5, 3)], paths length:[22, 14, 28], min_sum:64, min_max:28
round5:running time: 0.313, start_pos:[(8, 4), (8, 10), (5, 0)], paths length:[16, 18, 31], min_sum:65, min_max:31
round6:running time: 0.376, start_pos:[(6, 3), (2, 7), (6, 8)], paths length:[18, 27, 18], min_sum:63, min_max:27
round7:running time: 35.187, start_pos:[(0, 0), (3, 5), (0, 7)], paths length:[12, 32, 19], min_sum:63, min_max:32
round8:running time: 0.52, start_pos:[(1, 7), (5, 10), (4, 0)], paths length:[18, 25, 16], min_sum:59, min_max:25
round9:running time: 21.619, start_pos:[(0, 3), (10, 10), (7, 7)], paths length:[33, 16, 19], min_sum:68, min_max:33
round10:running time: 0.546, start_pos:[(8, 7), (5, 1), (0, 6)], paths length:[25, 16, 20], min_sum:61, min_max:25
round11:running time: 3.86, start_pos:[(8, 0), (5, 6), (10, 0)], paths length:[26, 31, 12], min_sum:69, min_max:31
round12:running time: 48.399, start_pos:[(0, 0), (0, 6), (4, 0)], paths length:[20, 38, 16], min_sum:74, min_max:38
round13:running time: 0.524, start_pos:[(0, 6), (2, 1), (7, 10)], paths length:[20, 13, 24], min_sum:57, min_max:24
round14:running time: 2.244, start_pos:[(7, 7), (10, 0), (8, 5)], paths length:[25, 12, 23], min_sum:60, min_max:25
round15:running time: 30.093, start_pos:[(8, 6), (6, 7), (8, 5)], paths length:[12, 15, 44], min_sum:71, min_max:44
round16:running time: 138.036, start_pos:[(6, 8), (5, 6), (8, 6)], paths length:[16, 13, 49], min_sum:78, min_max:49
round17:running time: 0.193, start_pos:[(7, 7), (7, 10), (1, 7)], paths length:[18, 15, 28], min_sum:61, min_max:28
round18:running time: 35.981, start_pos:[(1, 7), (1, 4), (6, 1)], paths length:[18, 33, 14], min_sum:65, min_max:33
round19:running time: 6.412, start_pos:[(6, 3), (5, 7), (3, 8)], paths length:[16, 23, 21], min_sum:60, min_max:23
round20:running time: 0.137, start_pos:[(10, 3), (2, 7), (9, 10)], paths length:[15, 27, 17], min_sum:59, min_max:27
round21:running time: 0.098, start_pos:[(3, 4), (6, 5), (0, 6)], paths length:[19, 22, 10], min_sum:51, min_max:22
round22:running time: 0.071, start_pos:[(7, 3), (0, 10), (0, 0)], paths length:[26, 16, 12], min_sum:54, min_max:26
round23:running time: 1.192, start_pos:[(0, 7), (5, 9), (3, 10)], paths length:[23, 16, 22], min_sum:61, min_max:23
round24:running time: 20.956, start_pos:[(3, 7), (8, 7), (0, 4)], paths length:[21, 25, 20], min_sum:66, min_max:25
round25:running time: 61.862, start_pos:[(2, 6), (7, 9), (7, 10)], paths length:[28, 20, 16], min_sum:64, min_max:28
round26:running time: 9.146, start_pos:[(9, 5), (0, 9), (1, 9)], paths length:[22, 15, 20], min_sum:57, min_max:22
round27:running time: 0.68, start_pos:[(10, 9), (5, 9), (1, 7)], paths length:[17, 16, 28], min_sum:61, min_max:28
round28:running time: 0.762, start_pos:[(3, 1), (1, 6), (7, 7)], paths length:[14, 19, 25], min_sum:58, min_max:25
round29:running time: 4.395, start_pos:[(10, 10), (4, 0), (3, 1)], paths length:[23, 14, 26], min_sum:63, min_max:26
pre-processing time:0.016s, runing time:435.748s, expansion:468.8666666666667, successful time:30, avg_max_paths_len+std:28.667Å}6.209, avg_sum_paths_len+std:62.233Å}5.766,per_exe_time:14.524935570000283
