round0:running time: 3.192, start_pos:[(0, 4), (9, 8), (2, 1), (0, 0)], paths length:[12, 15, 9, 17], min_sum:53, min_max:17
round1:running time: 6.284, start_pos:[(1, 7), (7, 1), (5, 3), (0, 1)], paths length:[8, 10, 28, 9], min_sum:55, min_max:28
round2:running time: 1.248, start_pos:[(10, 0), (10, 2), (0, 9), (0, 6)], paths length:[10, 24, 7, 14], min_sum:55, min_max:24
round3:running time: 13.405, start_pos:[(3, 5), (6, 9), (6, 5), (8, 4)], paths length:[36, 7, 8, 5], min_sum:56, min_max:36
round4:running time: 1.793, start_pos:[(1, 1), (6, 1), (5, 3), (7, 10)], paths length:[16, 14, 11, 17], min_sum:58, min_max:17
round5:running time: 0.956, start_pos:[(8, 4), (8, 10), (5, 0), (1, 10)], paths length:[11, 14, 16, 16], min_sum:57, min_max:16
round6:running time: 38.274, start_pos:[(6, 3), (2, 7), (6, 8), (0, 8)], paths length:[17, 14, 16, 19], min_sum:66, min_max:19
round7:running time: 9.296, start_pos:[(0, 0), (3, 5), (0, 7), (0, 1)], paths length:[9, 32, 9, 12], min_sum:62, min_max:32
round8:running time: 1.72, start_pos:[(1, 7), (5, 10), (4, 0), (9, 0)], paths length:[8, 17, 21, 6], min_sum:52, min_max:21
round9:running time: 25.913, start_pos:[(0, 3), (10, 10), (7, 7), (8, 10)], paths length:[13, 10, 30, 4], min_sum:57, min_max:30
round10:running time: 1.253, start_pos:[(8, 7), (5, 1), (0, 6), (9, 5)], paths length:[17, 17, 10, 14], min_sum:58, min_max:17
round11:running time: 45.579, start_pos:[(8, 0), (5, 6), (10, 0), (8, 7)], paths length:[26, 17, 7, 18], min_sum:68, min_max:26
round12:running time: 7.405, start_pos:[(0, 0), (0, 6), (4, 0), (9, 10)], paths length:[15, 16, 10, 17], min_sum:58, min_max:17
round13:running time: 1.587, start_pos:[(0, 6), (2, 1), (7, 10), (8, 6)], paths length:[10, 13, 17, 13], min_sum:53, min_max:17
round14:running time: 24.964, start_pos:[(7, 7), (10, 0), (8, 5), (9, 10)], paths length:[15, 12, 26, 15], min_sum:68, min_max:26
round15:running time: 15.065, start_pos:[(8, 6), (6, 7), (8, 5), (8, 3)], paths length:[12, 12, 41, 8], min_sum:73, min_max:41
round16:running time: 27.329, start_pos:[(6, 8), (5, 6), (8, 6), (5, 5)], paths length:[8, 44, 12, 7], min_sum:71, min_max:44
round17:running time: 0.778, start_pos:[(7, 7), (7, 10), (1, 7), (8, 6)], paths length:[10, 13, 28, 12], min_sum:63, min_max:28
round18:running time: 19.839, start_pos:[(1, 7), (1, 4), (6, 1), (1, 6)], paths length:[8, 33, 11, 15], min_sum:67, min_max:33
round19:running time: 0.464, start_pos:[(6, 3), (5, 7), (3, 8), (8, 0)], paths length:[14, 16, 13, 11], min_sum:54, min_max:16
round20:running time: 15.121, start_pos:[(10, 3), (2, 7), (9, 10), (3, 10)], paths length:[17, 19, 13, 15], min_sum:64, min_max:19
round21:running time: 28.924, start_pos:[(3, 4), (6, 5), (0, 6), (7, 9)], paths length:[14, 13, 17, 14], min_sum:58, min_max:17
round22:running time: 0.569, start_pos:[(7, 3), (0, 10), (0, 0), (2, 7)], paths length:[26, 10, 12, 3], min_sum:51, min_max:26
round23:running time: 3.115, start_pos:[(0, 7), (5, 9), (3, 10), (1, 10)], paths length:[17, 16, 4, 20], min_sum:57, min_max:20
round24:running time: 619.713, start_pos:[(3, 7), (8, 7), (0, 4), (7, 9)], paths length:[18, 12, 20, 16], min_sum:66, min_max:20
round25:running time: 3.048, start_pos:[(2, 6), (7, 9), (7, 10), (10, 9)], paths length:[28, 13, 9, 17], min_sum:67, min_max:28
round26:running time: 384.953, start_pos:[(9, 5), (0, 9), (1, 9), (10, 3)], paths length:[14, 19, 15, 15], min_sum:63, min_max:19
round27:running time: 23.736, start_pos:[(10, 9), (5, 9), (1, 7), (0, 2)], paths length:[17, 10, 14, 12], min_sum:53, min_max:17
round28:running time: 1.834, start_pos:[(3, 1), (1, 6), (7, 7), (0, 9)], paths length:[14, 16, 18, 7], min_sum:55, min_max:18
round29:running time: 6.221, start_pos:[(10, 10), (4, 0), (3, 1), (5, 6)], paths length:[10, 14, 18, 18], min_sum:60, min_max:18
pre-processing time:0.016s, runing time:1333.769s, expansion:981.2, successful time:30, avg_max_paths_len+std:23.567Å}7.588, avg_sum_paths_len+std:59.933Å}6.022,per_exe_time:44.45896563666659
