round0:running time: 0.235, start_pos:[(0, 4), (9, 8), (2, 1), (0, 0), (3, 8)], paths length:[13, 15, 9, 4, 7], min_sum:48, min_max:15
round1:running time: 0.891, start_pos:[(1, 7), (7, 1), (5, 3), (0, 1), (0, 5)], paths length:[8, 7, 28, 4, 5], min_sum:52, min_max:28
round2:running time: 0.465, start_pos:[(10, 0), (10, 2), (0, 9), (0, 6), (1, 7)], paths length:[10, 24, 1, 14, 4], min_sum:53, min_max:24
round3:running time: 1.668, start_pos:[(3, 5), (6, 9), (6, 5), (8, 4), (3, 8)], paths length:[18, 9, 10, 7, 7], min_sum:51, min_max:18
round4:running time: 25.753, start_pos:[(1, 1), (6, 1), (5, 3), (7, 10), (8, 4)], paths length:[16, 7, 10, 9, 10], min_sum:52, min_max:16
round5:running time: 0.213, start_pos:[(8, 4), (8, 10), (5, 0), (1, 10), (9, 0)], paths length:[12, 10, 12, 7, 6], min_sum:47, min_max:12
round6:running time: 1.381, start_pos:[(6, 3), (2, 7), (6, 8), (0, 8), (0, 5)], paths length:[13, 7, 12, 11, 18], min_sum:61, min_max:18
round7:running time: 10.482, start_pos:[(0, 0), (3, 5), (0, 7), (0, 1), (0, 5)], paths length:[15, 32, 5, 12, 11], min_sum:75, min_max:32
round8:running time: 0.333, start_pos:[(1, 7), (5, 10), (4, 0), (9, 0), (3, 0)], paths length:[8, 17, 2, 2, 20], min_sum:49, min_max:20
round9:running time: 0.47, start_pos:[(0, 3), (10, 10), (7, 7), (8, 10), (0, 6)], paths length:[13, 3, 15, 10, 10], min_sum:51, min_max:15
round10:running time: 0.348, start_pos:[(8, 7), (5, 1), (0, 6), (9, 5), (7, 10)], paths length:[9, 16, 10, 11, 9], min_sum:55, min_max:16
round11:running time: 36.793, start_pos:[(8, 0), (5, 6), (10, 0), (8, 7), (6, 8)], paths length:[26, 14, 7, 13, 10], min_sum:70, min_max:26
round12:running time: 0.178, start_pos:[(0, 0), (0, 6), (4, 0), (9, 10), (10, 3)], paths length:[8, 10, 8, 11, 9], min_sum:46, min_max:11
round13:running time: 0.164, start_pos:[(0, 6), (2, 1), (7, 10), (8, 6), (4, 0)], paths length:[10, 9, 9, 10, 6], min_sum:44, min_max:10
round14:running time: 0.138, start_pos:[(7, 7), (10, 0), (8, 5), (9, 10), (0, 8)], paths length:[10, 12, 12, 8, 8], min_sum:50, min_max:12
round15:running time: 0.819, start_pos:[(8, 6), (6, 7), (8, 5), (8, 3), (8, 0)], paths length:[9, 9, 6, 21, 10], min_sum:55, min_max:21
round16:running time: 1.022, start_pos:[(6, 8), (5, 6), (8, 6), (5, 5), (0, 8)], paths length:[8, 26, 8, 6, 8], min_sum:56, min_max:26
round17:running time: 7.41, start_pos:[(7, 7), (7, 10), (1, 7), (8, 6), (3, 4)], paths length:[10, 9, 8, 9, 17], min_sum:53, min_max:17
round18:running time: 8.54, start_pos:[(1, 7), (1, 4), (6, 1), (1, 6), (0, 3)], paths length:[4, 33, 11, 5, 11], min_sum:64, min_max:33
round19:running time: 0.241, start_pos:[(6, 3), (5, 7), (3, 8), (8, 0), (3, 5)], paths length:[13, 11, 7, 8, 10], min_sum:49, min_max:13
round20:running time: 2.284, start_pos:[(10, 3), (2, 7), (9, 10), (3, 10), (8, 1)], paths length:[11, 14, 13, 3, 12], min_sum:53, min_max:14
round21:running time: 2.286, start_pos:[(3, 4), (6, 5), (0, 6), (7, 9), (8, 4)], paths length:[10, 7, 17, 6, 9], min_sum:49, min_max:17
round22:running time: 0.854, start_pos:[(7, 3), (0, 10), (0, 0), (2, 7), (9, 8)], paths length:[11, 9, 12, 3, 15], min_sum:50, min_max:15
round23:running time: 1.068, start_pos:[(0, 7), (5, 9), (3, 10), (1, 10), (8, 5)], paths length:[17, 10, 4, 11, 9], min_sum:51, min_max:17
round24:running time: 0.35, start_pos:[(3, 7), (8, 7), (0, 4), (7, 9), (0, 9)], paths length:[10, 10, 14, 10, 4], min_sum:48, min_max:14
round25:running time: 20.239, start_pos:[(2, 6), (7, 9), (7, 10), (10, 9), (0, 0)], paths length:[17, 13, 9, 12, 12], min_sum:63, min_max:17
round26:running time: 11.412, start_pos:[(9, 5), (0, 9), (1, 9), (10, 3), (10, 2)], paths length:[14, 19, 15, 15, 3], min_sum:66, min_max:19
round27:running time: 0.556, start_pos:[(10, 9), (5, 9), (1, 7), (0, 2), (4, 0)], paths length:[10, 6, 8, 10, 8], min_sum:42, min_max:10
round28:running time: 0.567, start_pos:[(3, 1), (1, 6), (7, 7), (0, 9), (6, 5)], paths length:[12, 7, 11, 7, 10], min_sum:47, min_max:12
round29:running time: 4.978, start_pos:[(10, 10), (4, 0), (3, 1), (5, 6), (8, 1)], paths length:[10, 18, 5, 18, 6], min_sum:57, min_max:18
pre-processing time:0.016s, runing time:142.425s, expansion:1280.9666666666667, successful time:30, avg_max_paths_len+std:17.867Å}5.999, avg_sum_paths_len+std:53.567Å}7.535,per_exe_time:4.747494413333576
