round0:running time: 0.299, start_pos:[(8, 4), (4, 12)], paths length:[58, 14], min_sum:72, min_max:58
round1:running time: 0.394, start_pos:[(10, 10), (4, 8)], paths length:[42, 32], min_sum:74, min_max:42
round2:running time: 0.739, start_pos:[(1, 6), (9, 2)], paths length:[31, 47], min_sum:78, min_max:47
round3:running time: 2.11, start_pos:[(0, 4), (0, 11)], paths length:[62, 21], min_sum:83, min_max:62
round4:running time: 1.578, start_pos:[(12, 12), (6, 6)], paths length:[42, 46], min_sum:88, min_max:46
round5:running time: 0.848, start_pos:[(8, 8), (1, 6)], paths length:[46, 31], min_sum:77, min_max:46
round6:running time: 158.714, start_pos:[(8, 10), (8, 6)], paths length:[40, 44], min_sum:84, min_max:44
round7:running time: 2.162, start_pos:[(1, 8), (4, 4)], paths length:[25, 66], min_sum:91, min_max:66
round8:running time: 26.333, start_pos:[(8, 12), (8, 7)], paths length:[67, 14], min_sum:81, min_max:67
round9:running time: 0.211, start_pos:[(10, 10), (10, 6)], paths length:[14, 50], min_sum:64, min_max:50
round10:running time: 0.373, start_pos:[(7, 12), (2, 6)], paths length:[43, 32], min_sum:75, min_max:43
round11:running time: 0.913, start_pos:[(8, 9), (6, 0)], paths length:[17, 56], min_sum:73, min_max:56
round12:running time: 0.794, start_pos:[(10, 3), (2, 4)], paths length:[45, 32], min_sum:77, min_max:45
round13:running time: 15.973, start_pos:[(1, 8), (1, 4)], paths length:[63, 25], min_sum:88, min_max:63
round14:running time: 2.972, start_pos:[(12, 11), (12, 8)], paths length:[42, 45], min_sum:87, min_max:45
round15:running time: 0.253, start_pos:[(0, 0), (8, 12)], paths length:[30, 42], min_sum:72, min_max:42
round16:running time: 7.414, start_pos:[(0, 8), (2, 8)], paths length:[70, 26], min_sum:96, min_max:70
round17:running time: 0.109, start_pos:[(3, 2), (2, 5)], paths length:[53, 33], min_sum:86, min_max:53
round18:running time: 0.259, start_pos:[(10, 11), (0, 0)], paths length:[41, 30], min_sum:71, min_max:41
round19:running time: 1.081, start_pos:[(12, 11), (12, 0)], paths length:[38, 45], min_sum:83, min_max:45
round20:running time: 2.026, start_pos:[(0, 11), (0, 2)], paths length:[21, 60], min_sum:81, min_max:60
round21:running time: 0.394, start_pos:[(2, 6), (12, 6)], paths length:[32, 40], min_sum:72, min_max:40
round22:running time: 0.661, start_pos:[(3, 4), (8, 6)], paths length:[33, 48], min_sum:81, min_max:48
round23:running time: 0.15, start_pos:[(6, 2), (0, 10)], paths length:[50, 26], min_sum:76, min_max:50
round24:running time: 0.282, start_pos:[(2, 4), (10, 12)], paths length:[32, 40], min_sum:72, min_max:40
round25:running time: 0.582, start_pos:[(10, 2), (0, 6)], paths length:[46, 30], min_sum:76, min_max:46
round26:running time: 0.047, start_pos:[(0, 3), (2, 0)], paths length:[21, 56], min_sum:77, min_max:56
round27:running time: 1.53, start_pos:[(6, 8), (12, 10)], paths length:[40, 40], min_sum:80, min_max:40
round28:running time: 2.329, start_pos:[(10, 5), (12, 3)], paths length:[41, 39], min_sum:80, min_max:41
round29:running time: 0.251, start_pos:[(7, 12), (1, 2)], paths length:[15, 63], min_sum:78, min_max:63
round30:running time: 1.09, start_pos:[(2, 5), (10, 2)], paths length:[33, 46], min_sum:79, min_max:46
round31:running time: 2.856, start_pos:[(0, 10), (0, 1)], paths length:[22, 61], min_sum:83, min_max:61
round32:running time: 0.919, start_pos:[(6, 5), (0, 4)], paths length:[51, 30], min_sum:81, min_max:51
round33:running time: 0.225, start_pos:[(5, 2), (6, 6)], paths length:[59, 18], min_sum:77, min_max:59
round34:running time: 0.339, start_pos:[(0, 9), (6, 6)], paths length:[29, 50], min_sum:79, min_max:50
round35:running time: 0.048, start_pos:[(0, 1), (3, 0)], paths length:[29, 57], min_sum:86, min_max:57
round36:running time: 0.732, start_pos:[(1, 12), (6, 1)], paths length:[25, 49], min_sum:74, min_max:49
round37:running time: 90.321, start_pos:[(8, 6), (4, 10)], paths length:[40, 44], min_sum:84, min_max:44
round38:running time: 0.049, start_pos:[(2, 0), (3, 6)], paths length:[56, 25], min_sum:81, min_max:56
round39:running time: 1.67, start_pos:[(4, 6), (4, 4)], paths length:[24, 66], min_sum:90, min_max:66
round40:running time: 2.903, start_pos:[(12, 7), (12, 6)], paths length:[40, 41], min_sum:81, min_max:41
round41:running time: 0.904, start_pos:[(6, 0), (1, 11)], paths length:[48, 24], min_sum:72, min_max:48
round42:running time: 0.507, start_pos:[(7, 8), (10, 3)], paths length:[17, 53], min_sum:70, min_max:53
round43:running time: 13.504, start_pos:[(4, 11), (8, 6)], paths length:[20, 69], min_sum:89, min_max:69
round44:running time: 0.441, start_pos:[(10, 6), (0, 1)], paths length:[42, 29], min_sum:71, min_max:42
round45:running time: 3.145, start_pos:[(10, 4), (12, 2)], paths length:[40, 40], min_sum:80, min_max:40
round46:running time: 2.252, start_pos:[(0, 8), (3, 4)], paths length:[24, 65], min_sum:89, min_max:65
round47:running time: 0.657, start_pos:[(2, 11), (7, 8)], paths length:[23, 47], min_sum:70, min_max:47
round48:running time: 0.736, start_pos:[(2, 6), (6, 5)], paths length:[32, 51], min_sum:83, min_max:51
round49:running time: 0.525, start_pos:[(4, 6), (8, 6)], paths length:[30, 48], min_sum:78, min_max:48
pre-processing time:0.031s, running time:355.648s, expansion:155.92, successful time:50, avg_max_paths_len+std:51.160Å}8.799, avg_sum_paths_len+std:79.400Å}6.496,per_exe_time:7.112950135999999
