round0:running time: 0.052, start_pos:[(8, 4), (4, 12), (12, 9)], paths length:[34, 14, 19], min_sum:67, min_max:34
round1:running time: 0.072, start_pos:[(10, 10), (4, 8), (10, 4)], paths length:[14, 26, 28], min_sum:68, min_max:28
round2:running time: 12.591, start_pos:[(1, 6), (9, 2), (1, 2)], paths length:[23, 21, 31], min_sum:75, min_max:31
round3:running time: 0.221, start_pos:[(0, 4), (0, 11), (4, 12)], paths length:[30, 21, 14], min_sum:65, min_max:30
round4:running time: 1.764, start_pos:[(12, 12), (6, 6), (0, 7)], paths length:[22, 41, 42], min_sum:105, min_max:42
round5:running time: 0.092, start_pos:[(8, 8), (1, 6), (10, 10)], paths length:[26, 31, 14], min_sum:71, min_max:31
round6:running time: 2.365, start_pos:[(8, 10), (8, 6), (0, 1)], paths length:[28, 29, 24], min_sum:81, min_max:29
round7:running time: 0.184, start_pos:[(1, 8), (4, 4), (7, 2)], paths length:[17, 42, 13], min_sum:72, min_max:42
round8:running time: 0.511, start_pos:[(8, 12), (8, 7), (12, 1)], paths length:[19, 41, 34], min_sum:94, min_max:41
round9:running time: 0.082, start_pos:[(10, 10), (10, 6), (1, 8)], paths length:[14, 26, 25], min_sum:65, min_max:26
round10:running time: 0.093, start_pos:[(7, 12), (2, 6), (10, 3)], paths length:[15, 26, 29], min_sum:70, min_max:29
round11:running time: 0.092, start_pos:[(8, 9), (6, 0), (0, 3)], paths length:[17, 28, 21], min_sum:66, min_max:28
round12:running time: 0.168, start_pos:[(10, 3), (2, 4), (6, 0)], paths length:[25, 24, 24], min_sum:73, min_max:25
round13:running time: 1.043, start_pos:[(1, 8), (1, 4), (10, 10)], paths length:[31, 30, 31], min_sum:92, min_max:31
round14:running time: 2.765, start_pos:[(12, 11), (12, 8), (0, 6)], paths length:[34, 26, 29], min_sum:89, min_max:34
round15:running time: 0.059, start_pos:[(0, 0), (8, 12), (12, 3)], paths length:[22, 14, 27], min_sum:63, min_max:27
round16:running time: 13.261, start_pos:[(0, 8), (2, 8), (2, 1)], paths length:[57, 16, 12], min_sum:85, min_max:57
round17:running time: 0.088, start_pos:[(3, 2), (2, 5), (8, 12)], paths length:[27, 25, 14], min_sum:66, min_max:27
round18:running time: 0.401, start_pos:[(10, 11), (0, 0), (2, 6)], paths length:[13, 30, 22], min_sum:65, min_max:30
round19:running time: 0.472, start_pos:[(12, 11), (12, 0), (10, 12)], paths length:[22, 44, 37], min_sum:103, min_max:44
round20:running time: 0.216, start_pos:[(0, 11), (0, 2), (6, 10)], paths length:[21, 28, 14], min_sum:63, min_max:28
