round0:running time: 0.194, start_pos:[(8, 4), (4, 12), (12, 9), (2, 0)], paths length:[16, 14, 13, 29], min_sum:72, min_max:29
round1:running time: 0.187, start_pos:[(10, 10), (4, 8), (10, 4), (12, 6)], paths length:[14, 17, 20, 6], min_sum:57, min_max:20
round2:running time: 0.842, start_pos:[(1, 6), (9, 2), (1, 2), (6, 4)], paths length:[14, 13, 17, 20], min_sum:64, min_max:20
round3:running time: 0.103, start_pos:[(0, 4), (0, 11), (4, 12), (8, 3)], paths length:[14, 13, 14, 13], min_sum:54, min_max:14
round4:running time: 0.411, start_pos:[(12, 12), (6, 6), (0, 7), (11, 6)], paths length:[19, 18, 23, 12], min_sum:72, min_max:23
round5:running time: 0.25, start_pos:[(8, 8), (1, 6), (10, 10), (10, 3)], paths length:[26, 22, 6, 15], min_sum:69, min_max:26
round6:running time: 0.53, start_pos:[(8, 10), (8, 6), (0, 1), (12, 11)], paths length:[16, 17, 35, 15], min_sum:83, min_max:35
round7:running time: 0.796, start_pos:[(1, 8), (4, 4), (7, 2), (8, 3)], paths length:[21, 17, 25, 26], min_sum:89, min_max:26
round8:running time: 0.956, start_pos:[(8, 12), (8, 7), (12, 1), (2, 1)], paths length:[15, 24, 17, 18], min_sum:74, min_max:24
round9:running time: 0.134, start_pos:[(10, 10), (10, 6), (1, 8), (2, 8)], paths length:[14, 18, 19, 7], min_sum:58, min_max:19
round10:running time: 0.167, start_pos:[(7, 12), (2, 6), (10, 3), (8, 2)], paths length:[15, 17, 9, 16], min_sum:57, min_max:17
round11:running time: 0.257, start_pos:[(8, 9), (6, 0), (0, 3), (1, 4)], paths length:[17, 16, 13, 16], min_sum:62, min_max:17
round12:running time: 3.754, start_pos:[(10, 3), (2, 4), (6, 0), (8, 2)], paths length:[15, 15, 24, 12], min_sum:66, min_max:24
round13:running time: 0.42, start_pos:[(1, 8), (1, 4), (10, 10), (1, 6)], paths length:[6, 27, 14, 15], min_sum:62, min_max:27
round14:running time: 0.883, start_pos:[(12, 11), (12, 8), (0, 6), (5, 10)], paths length:[14, 21, 23, 29], min_sum:87, min_max:29
round15:running time: 0.141, start_pos:[(0, 0), (8, 12), (12, 3), (2, 12)], paths length:[14, 14, 15, 16], min_sum:59, min_max:16
round16:running time: 2.689, start_pos:[(0, 8), (2, 8), (2, 1), (12, 7)], paths length:[19, 18, 33, 16], min_sum:86, min_max:33
round17:running time: 0.186, start_pos:[(3, 2), (2, 5), (8, 12), (6, 1)], paths length:[15, 16, 14, 15], min_sum:60, min_max:16
round18:running time: 0.48, start_pos:[(10, 11), (0, 0), (2, 6), (2, 11)], paths length:[13, 26, 14, 5], min_sum:58, min_max:26
round19:running time: 1.738, start_pos:[(12, 11), (12, 0), (10, 12), (3, 6)], paths length:[17, 20, 12, 18], min_sum:67, min_max:20
round20:running time: 0.521, start_pos:[(0, 11), (0, 2), (6, 10), (8, 6)], paths length:[21, 28, 8, 8], min_sum:65, min_max:28
round21:running time: 0.136, start_pos:[(2, 6), (12, 6), (8, 3), (6, 6)], paths length:[17, 6, 17, 18], min_sum:58, min_max:18
round22:running time: 0.56, start_pos:[(3, 4), (8, 6), (8, 12), (6, 9)], paths length:[32, 9, 6, 28], min_sum:75, min_max:32
round23:running time: 0.017, start_pos:[(6, 2), (0, 10), (0, 7), (9, 12)], paths length:[18, 7, 17, 13], min_sum:55, min_max:18
round24:running time: 0.114, start_pos:[(2, 4), (10, 12), (5, 10), (6, 3)], paths length:[31, 6, 5, 19], min_sum:61, min_max:31
round25:running time: 0.213, start_pos:[(10, 2), (0, 6), (7, 0), (12, 3)], paths length:[15, 15, 26, 15], min_sum:71, min_max:26
round26:running time: 0.216, start_pos:[(0, 3), (2, 0), (12, 11), (7, 2)], paths length:[18, 17, 17, 28], min_sum:80, min_max:28
round27:running time: 0.855, start_pos:[(6, 8), (12, 10), (12, 7), (12, 4)], paths length:[31, 7, 22, 36], min_sum:96, min_max:36
round28:running time: 1.332, start_pos:[(10, 5), (12, 3), (10, 2), (8, 9)], paths length:[9, 29, 23, 17], min_sum:78, min_max:29
round29:running time: 1.141, start_pos:[(7, 12), (1, 2), (9, 8), (10, 4)], paths length:[19, 20, 24, 19], min_sum:82, min_max:24
round30:running time: 0.087, start_pos:[(2, 5), (10, 2), (7, 2), (1, 4)], paths length:[14, 14, 23, 15], min_sum:66, min_max:23
round31:running time: 9.521, start_pos:[(0, 10), (0, 1), (8, 3), (1, 2)], paths length:[14, 11, 25, 25], min_sum:75, min_max:25
round32:running time: 0.118, start_pos:[(6, 5), (0, 4), (12, 4), (9, 12)], paths length:[13, 17, 14, 13], min_sum:57, min_max:17
round33:running time: 0.286, start_pos:[(5, 2), (6, 6), (5, 10), (3, 4)], paths length:[29, 10, 7, 24], min_sum:70, min_max:29
round34:running time: 0.209, start_pos:[(0, 9), (6, 6), (4, 11), (12, 11)], paths length:[17, 20, 13, 17], min_sum:67, min_max:20
round35:running time: 4.394, start_pos:[(0, 1), (3, 0), (1, 8), (10, 8)], paths length:[21, 15, 21, 20], min_sum:77, min_max:21
round36:running time: 0.332, start_pos:[(1, 12), (6, 1), (6, 7), (0, 12)], paths length:[8, 17, 17, 23], min_sum:65, min_max:23
round37:running time: 0.531, start_pos:[(8, 6), (4, 10), (10, 5), (0, 2)], paths length:[20, 16, 13, 35], min_sum:84, min_max:35
round38:running time: 5.029, start_pos:[(2, 0), (3, 6), (2, 5), (6, 5)], paths length:[19, 12, 11, 24], min_sum:66, min_max:24
round39:running time: 2.03, start_pos:[(4, 6), (4, 4), (4, 12), (9, 12)], paths length:[19, 26, 22, 13], min_sum:80, min_max:26
round40:running time: 0.721, start_pos:[(12, 7), (12, 6), (10, 11), (6, 7)], paths length:[24, 30, 13, 11], min_sum:78, min_max:30
round41:running time: 0.186, start_pos:[(6, 0), (1, 11), (5, 10), (8, 7)], paths length:[16, 24, 7, 7], min_sum:54, min_max:24
round42:running time: 1.23, start_pos:[(7, 8), (10, 3), (6, 9), (10, 0)], paths length:[17, 30, 20, 21], min_sum:88, min_max:30
round43:running time: 0.439, start_pos:[(4, 11), (8, 6), (5, 2), (6, 2)], paths length:[18, 20, 24, 21], min_sum:83, min_max:24
round44:running time: 3.669, start_pos:[(10, 6), (0, 1), (12, 1), (10, 12)], paths length:[17, 33, 13, 12], min_sum:75, min_max:33
round45:running time: 0.203, start_pos:[(10, 4), (12, 2), (1, 6), (11, 6)], paths length:[28, 19, 22, 8], min_sum:77, min_max:28
round46:running time: 0.632, start_pos:[(0, 8), (3, 4), (12, 4), (0, 3)], paths length:[16, 19, 14, 33], min_sum:82, min_max:33
round47:running time: 0.276, start_pos:[(2, 11), (7, 8), (4, 8), (6, 7)], paths length:[7, 17, 14, 23], min_sum:61, min_max:23
round48:running time: 0.244, start_pos:[(2, 6), (6, 5), (12, 1), (9, 8)], paths length:[13, 19, 17, 19], min_sum:68, min_max:19
round49:running time: 0.095, start_pos:[(4, 6), (8, 6), (0, 9), (8, 3)], paths length:[20, 20, 6, 13], min_sum:59, min_max:20
pre-processing time:0.030s, running time:50.688s, expansion:578.06, successful time:50, avg_max_paths_len+std:24.760Å}5.573, avg_sum_paths_len+std:70.180Å}10.693,per_exe_time:1.0137660280000274
