round0:running time: 3.421, start_pos:[(8, 4), (4, 12), (12, 9), (2, 0), (10, 10)], paths length:[12, 6, 15, 29, 8], min_sum:70, min_max:29
round1:running time: 0.098, start_pos:[(10, 10), (4, 8), (10, 4), (12, 6), (1, 8)], paths length:[14, 14, 8, 6, 6], min_sum:48, min_max:14
round2:running time: 0.064, start_pos:[(1, 6), (9, 2), (1, 2), (6, 4), (5, 10)], paths length:[14, 11, 11, 8, 13], min_sum:57, min_max:14
round3:running time: 0.287, start_pos:[(0, 4), (0, 11), (4, 12), (8, 3), (5, 10)], paths length:[10, 13, 11, 13, 14], min_sum:61, min_max:14
round4:running time: 0.328, start_pos:[(12, 12), (6, 6), (0, 7), (11, 6), (12, 3)], paths length:[11, 18, 23, 19, 6], min_sum:77, min_max:23
round5:running time: 0.122, start_pos:[(8, 8), (1, 6), (10, 10), (10, 3), (11, 4)], paths length:[6, 18, 6, 19, 7], min_sum:56, min_max:19
round6:running time: 0.127, start_pos:[(8, 10), (8, 6), (0, 1), (12, 11), (0, 7)], paths length:[4, 8, 17, 17, 16], min_sum:62, min_max:17
round7:running time: 0.927, start_pos:[(1, 8), (4, 4), (7, 2), (8, 3), (4, 8)], paths length:[10, 13, 25, 14, 14], min_sum:76, min_max:25
round8:running time: 1.47, start_pos:[(8, 12), (8, 7), (12, 1), (2, 1), (4, 11)], paths length:[15, 24, 13, 19, 8], min_sum:79, min_max:24
round9:running time: 0.138, start_pos:[(10, 10), (10, 6), (1, 8), (2, 8), (3, 0)], paths length:[14, 14, 13, 7, 9], min_sum:57, min_max:14
round10:running time: 0.148, start_pos:[(7, 12), (2, 6), (10, 3), (8, 2), (12, 9)], paths length:[15, 13, 5, 18, 5], min_sum:56, min_max:18
round11:running time: 0.219, start_pos:[(8, 9), (6, 0), (0, 3), (1, 4), (7, 8)], paths length:[7, 16, 13, 16, 15], min_sum:67, min_max:16
round12:running time: 0.443, start_pos:[(10, 3), (2, 4), (6, 0), (8, 2), (4, 10)], paths length:[9, 15, 0, 14, 12], min_sum:50, min_max:15
round13:running time: 0.085, start_pos:[(1, 8), (1, 4), (10, 10), (1, 6), (12, 6)], paths length:[6, 15, 14, 9, 12], min_sum:56, min_max:15
round14:running time: 3.477, start_pos:[(12, 11), (12, 8), (0, 6), (5, 10), (11, 4)], paths length:[8, 19, 23, 13, 5], min_sum:68, min_max:23
round15:running time: 0.163, start_pos:[(0, 0), (8, 12), (12, 3), (2, 12), (6, 12)], paths length:[14, 14, 15, 16, 8], min_sum:67, min_max:16
round16:running time: 4.477, start_pos:[(0, 8), (2, 8), (2, 1), (12, 7), (10, 2)], paths length:[14, 15, 17, 13, 26], min_sum:85, min_max:26
round17:running time: 0.591, start_pos:[(3, 2), (2, 5), (8, 12), (6, 1), (6, 10)], paths length:[9, 14, 6, 17, 8], min_sum:54, min_max:17
round18:running time: 0.273, start_pos:[(10, 11), (0, 0), (2, 6), (2, 11), (3, 0)], paths length:[13, 21, 12, 5, 10], min_sum:61, min_max:21
round19:running time: 1.181, start_pos:[(12, 11), (12, 0), (10, 12), (3, 6), (6, 12)], paths length:[17, 20, 12, 18, 8], min_sum:75, min_max:20
round20:running time: 0.294, start_pos:[(0, 11), (0, 2), (6, 10), (8, 6), (12, 3)], paths length:[13, 12, 14, 8, 15], min_sum:62, min_max:15
round21:running time: 0.055, start_pos:[(2, 6), (12, 6), (8, 3), (6, 6), (1, 11)], paths length:[10, 6, 13, 18, 6], min_sum:53, min_max:18
round22:running time: 0.171, start_pos:[(3, 4), (8, 6), (8, 12), (6, 9), (0, 12)], paths length:[17, 19, 8, 24, 10], min_sum:78, min_max:24
round23:running time: 0.165, start_pos:[(6, 2), (0, 10), (0, 7), (9, 12), (4, 7)], paths length:[18, 7, 9, 13, 13], min_sum:60, min_max:18
round24:running time: 0.084, start_pos:[(2, 4), (10, 12), (5, 10), (6, 3), (6, 0)], paths length:[15, 6, 5, 15, 14], min_sum:55, min_max:15
round25:running time: 0.142, start_pos:[(10, 2), (0, 6), (7, 0), (12, 3), (8, 2)], paths length:[6, 15, 18, 5, 25], min_sum:69, min_max:25
round26:running time: 0.085, start_pos:[(0, 3), (2, 0), (12, 11), (7, 2), (6, 12)], paths length:[18, 8, 11, 17, 10], min_sum:64, min_max:18
round27:running time: 0.395, start_pos:[(6, 8), (12, 10), (12, 7), (12, 4), (10, 4)], paths length:[16, 4, 31, 22, 11], min_sum:84, min_max:31
round28:running time: 0.288, start_pos:[(10, 5), (12, 3), (10, 2), (8, 9), (4, 2)], paths length:[3, 11, 23, 17, 14], min_sum:68, min_max:23
round29:running time: 0.101, start_pos:[(7, 12), (1, 2), (9, 8), (10, 4), (12, 8)], paths length:[7, 20, 7, 16, 8], min_sum:58, min_max:20
round30:running time: 0.171, start_pos:[(2, 5), (10, 2), (7, 2), (1, 4), (8, 3)], paths length:[14, 10, 23, 5, 13], min_sum:65, min_max:23
round31:running time: 6.848, start_pos:[(0, 10), (0, 1), (8, 3), (1, 2), (3, 0)], paths length:[14, 11, 13, 15, 29], min_sum:82, min_max:29
round32:running time: 0.131, start_pos:[(6, 5), (0, 4), (12, 4), (9, 12), (8, 4)], paths length:[7, 17, 6, 7, 14], min_sum:51, min_max:17
round33:running time: 0.182, start_pos:[(5, 2), (6, 6), (5, 10), (3, 4), (4, 8)], paths length:[19, 10, 7, 9, 13], min_sum:58, min_max:19
round34:running time: 0.309, start_pos:[(0, 9), (6, 6), (4, 11), (12, 11), (6, 8)], paths length:[17, 20, 8, 17, 13], min_sum:75, min_max:20
round35:running time: 0.203, start_pos:[(0, 1), (3, 0), (1, 8), (10, 8), (8, 2)], paths length:[9, 12, 10, 20, 21], min_sum:72, min_max:21
round36:running time: 0.311, start_pos:[(1, 12), (6, 1), (6, 7), (0, 12), (10, 12)], paths length:[8, 17, 9, 23, 4], min_sum:61, min_max:23
round37:running time: 0.146, start_pos:[(8, 6), (4, 10), (10, 5), (0, 2), (6, 4)], paths length:[8, 6, 15, 19, 12], min_sum:60, min_max:19
round38:running time: 0.267, start_pos:[(2, 0), (3, 6), (2, 5), (6, 5), (8, 3)], paths length:[13, 10, 13, 19, 20], min_sum:75, min_max:20
round39:running time: 0.679, start_pos:[(4, 6), (4, 4), (4, 12), (9, 12), (8, 8)], paths length:[15, 18, 18, 5, 26], min_sum:82, min_max:26
round40:running time: 0.553, start_pos:[(12, 7), (12, 6), (10, 11), (6, 7), (6, 10)], paths length:[12, 30, 13, 18, 13], min_sum:86, min_max:30
round41:running time: 0.143, start_pos:[(6, 0), (1, 11), (5, 10), (8, 7), (0, 1)], paths length:[16, 12, 7, 7, 9], min_sum:51, min_max:16
round42:running time: 0.829, start_pos:[(7, 8), (10, 3), (6, 9), (10, 0), (8, 9)], paths length:[21, 31, 7, 21, 7], min_sum:87, min_max:31
round43:running time: 0.194, start_pos:[(4, 11), (8, 6), (5, 2), (6, 2), (12, 12)], paths length:[8, 13, 24, 14, 18], min_sum:77, min_max:24
