round0:running time: 66.472, start_pos:[(9, 22), (25, 8), (7, 7), (23, 10)], paths length:[15, 15, 16, 15], min_sum:61, min_max:16
round1:running time: 62.157, start_pos:[(10, 15), (18, 7), (29, 8), (26, 10)], paths length:[21, 17, 13, 15], min_sum:66, min_max:21
round2:running time: 72.834, start_pos:[(6, 7), (13, 19), (11, 6), (7, 13)], paths length:[15, 14, 21, 19], min_sum:69, min_max:21
round3:running time: 250.939, start_pos:[(6, 12), (16, 14), (22, 15), (10, 23)], paths length:[14, 15, 17, 15], min_sum:61, min_max:17
round4:running time: 59.647, start_pos:[(20, 11), (15, 10), (18, 9), (14, 14)], paths length:[14, 19, 15, 13], min_sum:61, min_max:19
round5:running time: 126.853, start_pos:[(8, 20), (25, 16), (8, 9), (11, 24)], paths length:[17, 23, 19, 15], min_sum:74, min_max:23
round6:running time: 33.622, start_pos:[(23, 14), (17, 11), (22, 9), (6, 7)], paths length:[14, 19, 18, 15], min_sum:66, min_max:19
round7:running time: 67.158, start_pos:[(8, 13), (27, 11), (11, 6), (16, 9)], paths length:[15, 17, 12, 14], min_sum:58, min_max:17
round8:running time: 109.38, start_pos:[(8, 20), (5, 11), (23, 8), (7, 8)], paths length:[15, 13, 20, 18], min_sum:66, min_max:20
round9:running time: 62.564, start_pos:[(26, 8), (25, 8), (28, 6), (15, 13)], paths length:[17, 30, 19, 26], min_sum:92, min_max:30
round10:running time: 136.704, start_pos:[(11, 16), (22, 17), (21, 11), (19, 8)], paths length:[19, 17, 20, 26], min_sum:82, min_max:26
round11:running time: 154.723, start_pos:[(9, 16), (10, 16), (29, 7), (10, 20)], paths length:[14, 16, 17, 11], min_sum:58, min_max:17
round12:running time: 69.029, start_pos:[(17, 10), (17, 15), (25, 12), (9, 26)], paths length:[18, 18, 19, 11], min_sum:66, min_max:19
round13:running time: 124.614, start_pos:[(24, 11), (20, 17), (17, 10), (6, 15)], paths length:[15, 16, 14, 16], min_sum:61, min_max:16
round14:running time: 229.494, start_pos:[(8, 7), (19, 13), (18, 16), (13, 13)], paths length:[11, 18, 10, 13], min_sum:52, min_max:18
round15:running time: 43.349, start_pos:[(22, 13), (12, 7), (16, 7), (11, 11)], paths length:[15, 14, 12, 18], min_sum:59, min_max:18
round16:running time: 146.74, start_pos:[(12, 13), (10, 22), (22, 13), (9, 12)], paths length:[16, 17, 23, 18], min_sum:74, min_max:23
round17:running time: 37.721, start_pos:[(19, 12), (18, 10), (20, 6), (25, 12)], paths length:[20, 22, 15, 15], min_sum:72, min_max:22
round18:running time: 67.278, start_pos:[(8, 6), (9, 11), (26, 11), (9, 9)], paths length:[18, 16, 19, 18], min_sum:71, min_max:19
round19:running time: 392.071, start_pos:[(20, 15), (11, 8), (21, 14), (21, 16)], paths length:[16, 15, 17, 18], min_sum:66, min_max:18
round20:running time: 44.11, start_pos:[(7, 6), (5, 11), (5, 8), (23, 7)], paths length:[14, 20, 14, 9], min_sum:57, min_max:20
round21:running time: 208.771, start_pos:[(11, 10), (19, 14), (9, 18), (22, 16)], paths length:[22, 16, 17, 18], min_sum:73, min_max:22
round22:running time: 51.109, start_pos:[(11, 25), (25, 8), (6, 5), (12, 22)], paths length:[13, 16, 11, 17], min_sum:57, min_max:17
round23:running time: 83.006, start_pos:[(10, 21), (9, 7), (27, 15), (18, 12)], paths length:[16, 8, 16, 12], min_sum:52, min_max:16
round24:running time: 56.962, start_pos:[(13, 13), (18, 14), (24, 16), (13, 8)], paths length:[13, 15, 16, 13], min_sum:57, min_max:16
round25:running time: 62.471, start_pos:[(10, 7), (26, 8), (13, 16), (10, 9)], paths length:[20, 21, 19, 14], min_sum:74, min_max:21
round26:running time: 122.841, start_pos:[(16, 12), (22, 11), (7, 19), (19, 14)], paths length:[17, 13, 13, 10], min_sum:53, min_max:17
round27:running time: 37.507, start_pos:[(27, 13), (19, 14), (10, 24), (19, 11)], paths length:[16, 14, 16, 21], min_sum:67, min_max:21
round28:running time: 63.951, start_pos:[(9, 10), (8, 10), (20, 7), (27, 11)], paths length:[17, 14, 16, 14], min_sum:61, min_max:17
round29:running time: 210.502, start_pos:[(24, 14), (24, 13), (22, 13), (17, 9)], paths length:[19, 22, 24, 23], min_sum:88, min_max:24
pre-processing time:0.390s, running time:3268.301s, expansion:16744.933333333334, successful time:30, avg_max_paths_len+std:19.667Å}3.228, avg_sum_paths_len+std:65.800Å}9.717,per_exe_time:108.94338267999993
